kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Jüri Kogudus,vald128,2018,817,35,23,20,2,0,0,10,281,Ida-Harju,30 183 €,9 564 €,2 148 €,2 760 €,7 300 €,3 270 €, 0 €,55 148 €
Jüri Kogudus,vald129,2019,800,34,10,22,4,0,0,22,306,Ida-Harju,120 210 €,12 966 €,4 422 €,3 100 €,7 300 €, 0 €, 0 €,56 016 €
Jüri Kogudus,vald130,2020,800,30,3,18,3,0,0,7,286,Ida-Harju,44 036 €,12 614 €,4 453 €,2 130 €,18 070 €,4 950 €, 0 €,37 420 €
Juuru Mihkli Kogudus,vald131,2017,550,19,13,12,7,7,0,5,118,Ida-Harju,29 925 €,7 814 €,7 315 €,1 899 €,2 120 €,5 406 €,5 189 €,61 502 €
Juuru Mihkli Kogudus,vald132,2018,539,23,6,18,5,4,0,5,155,Ida-Harju,144 063 €,9 987 €,8 057 €,3 239 €,1 900 €,5 903 €, 743 €,148 371 €
Juuru Mihkli Kogudus,vald133,2019,523,26,9,16,1,1,0,0,159,Ida-Harju,45 240 €,9 246 €,8 192 €,4 735 €,4 405 €,5 563 €, 901 €,44 513 €
Juuru Mihkli Kogudus,vald134,2020,527,14,5,7,0,0,0,3,142,Ida-Harju,45 912 €,10 036 €,3 595 €,1 650 €,5 140 €,12 791 €,4 500 €,32 359 €
Kaarma Peeter-Pauli Kogudus,vald135,2017,410,14,0,10,0,0,0,0,81,Saarte,33 904 €,1 091 €,12 751 €, 300 €,19 417 €, 345 €, 0 €,30 565 €
Kaarma Peeter-Pauli Kogudus,vald136,2018,408,14,1,5,2,1,0,0,71,Saarte,76 575 €,3 847 €,1 769 €, 70 €,62 100 €, 694 €, 0 €,80 928 €
Kaarma Peeter-Pauli Kogudus,vald137,2019,409,17,1,4,1,1,0,0,75,Saarte,14 704 €,6 568 €,1 790 €, 200 €,1 700 €, 330 €, 0 €,16 680 €
Kaarma Peeter-Pauli Kogudus,vald138,2020,404,10,0,1,0,0,0,0,61,Saarte,75 524 €,6 955 €,1 524 €, 250 €,61 130 €, 363 €, 0 €,75 915 €
Kadrina Katariina Kogudus,vald139,2017,300,17,8,7,1,0,12,16,84,Viru,43 948 €,2 952 €,1 500 €, 45 €,2 000 €, 562 €,27 864 €,47 332 €
Kadrina Katariina Kogudus,vald140,2018,300,16,14,11,1,0,8,12,92,Viru,28 371 €,3 851 €,2 533 €, 30 €, 0 €,4 702 €, 709 €,26 250 €
Kadrina Katariina Kogudus,vald141,2019,300,13,11,10,0,0,6,8,88,Viru,22 723 €,3 966 €,2 002 €, 160 €,3 600 €,8 791 €, 650 €,20 577 €
Kadrina Katariina Kogudus,vald142,2020,500,8,7,9,0,0,0,10,106,Viru,38 747 €,5 619 €,3 683 €, 215 €,12 666 €,9 417 €, 632 €,32 367 €
Käina Martini Kogudus,vald143,2017,150,15,0,9,2,2,2,0,38,Saarte,16 719 €,1 546 €,2 411 €,1 438 €,2 100 €,1 771 €,6 085 €,18 165 €
Käina Martini Kogudus,vald144,2018,150,11,2,5,0,0,2,4,44,Saarte,60 164 €,2 179 €,2 567 €, 408 €,4 000 €,42 884 €,5 825 €,34 321 €
Käina Martini Kogudus,vald145,2019,150,10,3,5,3,3,0,0,39,Saarte,40 714 €,2 102 €,2 456 €, 910 €,2 540 €,1 845 €,5 590 €,33 395 €
Käina Martini Kogudus,vald146,2020,150,7,0,3,1,1,0,0,39,Saarte,26 088 €,2 570 €,2 427 €, 420 €,11 936 €,2 916 €,3 954 €,31 268 €
Kambja Kogudus,vald147,2017,650,36,19,24,4,4,0,0,124,Tartu,25 322 €,5 570 €,6 375 €,4 855 €,2 900 €,5 321 €, 0 €,17 342 €
Kambja Kogudus,vald148,2018,654,30,13,17,3,3,0,0,118,Tartu,37 931 €,4 944 €,5 929 €,2 668 €,4 000 €,15 176 €, 0 €,22 121 €
Kambja Kogudus,vald149,2019,684,35,30,29,8,7,0,0,144,Tartu,38 567 €,5 222 €,6 289 €,7 640 €,3 500 €,10 816 €, 200 €,21 819 €
Kambja Kogudus,vald150,2020,728,24,31,25,6,6,0,0,148,Tartu,35 042 €,6 678 €,4 321 €,6 081 €,5 225 €,9 381 €, 0 €,27 988 €
Kanepi Jaani Kogudus,vald151,2017,1600,15,8,28,2,2,0,8,163,Võru,12 341 €,4 865 €,1 835 €,1 731 €,1 000 €, 509 €, 950 €,15 672 €
Kanepi Jaani Kogudus,vald152,2018,2000,16,7,34,1,2,0,8,156,Võru,31 610 €,5 260 €,3 178 €,1 665 €,19 830 €, 552 €,1 125 €,30 374 €
Kanepi Jaani Kogudus,vald153,2019,1500,18,4,24,1,1,0,13,164,Võru,14 627 €,5 905 €,3 054 €,1 703 €,2 112 €,1 053 €, 800 €,20 619 €
